t,y0,y1,y2
1.0,0.9977789604818955,2.0,2.9908075145485014
1.000100016669445,1.0002103693827544,2.002643565078304,2.9938065989631775
1.0002000333388898,1.001426513679954,2.0039657633143015,2.995306791951014
1.0003000500083348,1.0026429512806265,2.005288238706479,2.9968074189862315
1.0004000666777797,1.0038596822389863,2.0066109912735577,2.9983084802141597
1.0005000833472246,1.005076706609245,2.007934021034262,2.99980997578017
1.0006001000166695,1.0062940244456084,2.0092573280073216,3.001311905829669
1.0007001166861145,1.0075116358022815,2.010580912211472,3.002814270508102
1.0008001333555594,1.008729540733463,2.0119047736654543,3.0043170699609507
1.0009001500250043,1.0099477392933487,2.013228912388013,3.005820304333736
1.0010001666944492,1.0111662315361305,2.0145533283978994,3.007323973772015
1.0011001833638942,1.0123850175159965,2.015878021713869,3.008828078421383
1.001200200033339,1.0136040972871307,2.017202992354684,3.010332618427473
1.001300216702784,1.0148234709037136,2.0185282403391094,3.011837593935954
1.001400233372229,1.016043138419922,2.019853765685917,3.013343005092536
1.0015002500416739,1.0172630998899275,2.0211795684138827,3.0148488520429635
1.0016002667111188,1.0184833553678996,2.022505648541789,3.0163551349330193
1.0017002833805637,1.0197039049080028,2.0238320060884223,3.0178618539085256
1.0018003000500086,1.0209247485643977,2.0251586410725744,3.0193690091153407
1.0019003167194536,1.0221458863912416,2.0264855535130426,3.02087660069936
1.0020003333888985,1.0233673184426875,2.0278127434286293,3.022384628806518
1.0021003500583434,1.0245890447728838,2.0291402108381416,3.0238930935827857
1.0022003667277883,1.025811065435976,2.030467955760392,3.0254019951741733
1.0023003833972333,1.0270333804861054,2.031795978214198,3.026911333726727
1.0024004000666782,1.0282559899774089,2.0331242782183825,3.0284211093865316
1.0025004167361231,1.0294788939640196,2.0344528557917734,3.0299313222997095
1.002600433405568,1.0307020925000667,2.0357817109532035,3.0314419726124213
1.002700450075013,1.0319255856396752,2.0371108437215115,3.0329530604708643
1.0028004667444579,1.0331493734369663,2.03844025411554,3.034464586021275
1.0029004834139028,1.0343734559460571,2.039769942154138,3.035976549409925
1.0030005000833477,1.0355978332210611,2.041099907856159,3.0374889507831266
1.0031005167527927,1.0368225053160867,2.0424301512404615,3.0390017902872284
1.0032005334222376,1.0380474722852389,2.043760672325909,3.0405150680686175
1.0033005500916825,1.0392727341826191,2.045091471131371,3.0420287842737173
1.0034005667611274,1.0404982910623237,2.0464225476757205,3.0435429390489905
1.0035005834305724,1.0417241429784458,2.047753901977838,3.045057532540937
1.0036006001000173,1.0429502899850736,2.049085534056606,3.046572564896095
1.0037006167694622,1.0441767321362918,2.050417443930915,3.04808803626104
1.0038006334389071,1.045403469486181,2.0517496316196597,3.0496039467823848
1.003900650108352,1.0466305020888171,2.053082097141739,3.051120296606782
1.004000666777797,1.0478578299982724,2.054414840516058,3.0526370858809186
1.004100683447242,1.0490854532686151,2.055747861761526,3.0541543147515235
1.0042007001166868,1.0503133719539088,2.057081160897059,3.05567198336536
1.0043007167861318,1.0515415861082136,2.0584147379415754,3.0571900918692334
1.0044007334555767,1.0527700957855841,2.0597485929140014,3.058708640409981
1.0045007501250216,1.0539989010400725,2.061082725833267,3.0602276291344825
1.0046007667944665,1.0552280019257256,2.0624171367183073,3.0617470581896553
1.0047007834639115,1.0564573984965864,2.0637518255880627,3.0632669277224522
1.0048008001333564,1.0576870908066933,2.0650867924614786,3.064787237879867
1.0049008168028013,1.0589170789100812,2.0664220373575057,3.0663079888089277
1.0050008334722462,1.0601473628607803,2.0677575602951,3.067829180656704
1.0051008501416911,1.061377942712816,2.069093361293222,3.069350813570301
1.005200866811136,1.0626088185202105,2.070429440370837,3.0708728876968627
1.005300883480581,1.0638399903369808,2.0717657975469166,3.0723954031835707
1.005400900150026,1.0650714582171408,2.0731024328404364,3.0739183601776454
