t,y0,y1,y2,y3,y4,y5,y6,y7
0.0,0.0,0.0,0.0,0.0,27.28461400684461,56.5046122204827,-2.8988429827779,0.031122416987107507
0.00011236522510083142,6.943184723168617e-11,4.1273776329612414e-10,-2.662767280013e-11,2.361259725798349e-07,27.161860645570933,56.49504715374644,-2.8715374865655354,0.030478775878262258
0.00022473045020166284,1.0391395645845176e-10,6.191393778091073e-10,-5.969806928592891e-11,3.5228697011412706e-07,27.100569200854615,56.4905117127312,-2.8577714377990535,0.030159311455356223
0.00033709567530249425,1.3824302328914496e-10,8.255633616512653e-10,-1.0575012957278403e-10,4.671890570083096e-07,27.039332738802614,56.48613383912089,-2.84393302694659,0.029841428201609538
0.0004494609004033257,1.724211419112576e-10,1.032010103757583e-09,-1.6464277998495673e-10,5.808390736776565e-07,26.978149903202752,56.48190824052419,-2.8300245985154375,0.029525133601722674
0.0005618261255041571,2.0645038175252183e-10,1.2384799760146156e-09,-2.36235716716696e-10,6.932438825328127e-07,26.917019357448464,56.47782968665357,-2.816048469813181,0.029210434882932845
0.0006741913506049885,2.403327876542817e-10,1.4449733334713623e-09,-3.2038940824742785e-10,8.044103669794138e-07,26.85593978437736,56.47389300892405,-2.8020069311203626,0.028897339018045632
0.0007865565757058199,2.740703800447141e-10,1.6514905145486528e-09,-4.1696509764526293e-10,9.143454304306078e-07,26.79490988611037,56.470093100051706,-2.7879022458632563,0.02858585272844687
0.0008989218008066514,3.0766515511188234e-10,1.858031841247064e-09,-5.258248047602655e-10,1.023055995332376e-06,26.733928383891318,56.46642491365206,-2.773736650786761,0.028275982487095
0.0010112870259074828,3.4111908497660704e-10,2.0645976193533497e-09,-6.468313283089169e-10,1.1305490022015605e-06,26.67299401792701,56.46288346383835,-2.7595123561273605,0.027967734521493693
0.0011236522510083141,3.7443411786514095e-10,2.271188138645397e-09,-7.798482478511982e-10,1.2368314086765046e-06,26.612105547227845,56.459463824819906,-2.74523154578616,0.027661114816644836
0.0012360174761091454,4.0761217828163133e-10,2.4778036730957105e-09,-9.247399256616984e-10,1.341910188580205e-06,26.5512617494489,56.45616113050028,-2.7308963775019603,0.027356129117981902
0.0013483827012099768,4.4065516718035765e-10,2.6844444810734215e-09,-1.0813715084961557e-09,1.4457923309958864e-06,26.49046142073161,56.45297057407571,-2.7165089830243643,0.0270527829342836
0.001460747926310808,4.73564962137728e-10,2.8911108055448193e-09,-1.2496089292548163e-09,1.5484848393549015e-06,26.42970337554591,56.44988740763336,-2.7020714682868845,0.026751081540567975
0.0015731131514116394,5.063434175240224e-10,3.0978028742724246e-09,-1.4293189085439943e-09,1.64999473053686e-06,26.36898644653293,56.446906941750036,-2.687585913580055,0.026451029980966757
0.0016854783765124707,5.389923646748689e-10,3.304520900012584e-09,-1.6203689561372e-09,1.7503290339818922e-06,26.30830948434831,56.44402454509066,-2.6730543737245043,0.026152633071580122
0.001797843601613302,5.715136120624392e-10,3.5112650807116086e-09,-1.8226273723371928e-09,1.849494790814956e-06,26.24767135750596,56.441235644007314,-2.65847887824399,0.02585589540331183
0.0019102088267141334,6.039089454663492e-10,3.718035599700441e-09,-2.035963249240313e-09,1.947499052982091e-06,26.187070952222474,56.43853572213823,-2.643861431538374,0.025560821344684743
0.0020225740518149647,6.361801281442535e-10,3.92483262588787e-09,-2.2602464719044226e-09,2.0443488823985207e-06,26.126507172262045,56.43592032000734,-2.6292040130565204,0.025267415044636716
0.002134939276915796,6.683289010021214e-10,4.131656313952277e-09,-2.4953477194217803e-09,2.140051350108522e-06,26.065978938782028,56.43338503462378,-2.6145085774690955,0.024975680435296892
0.0022473045020166274,7.003569827641797e-10,4.338506804531938e-09,-2.7411384658981825e-09,2.2346135354569525e-06,26.00548519017903,56.430925519082145,-2.5997770548412644,0.024685621234742456
0.0023596697271174587,7.322660701425116e-10,4.545384224413868e-09,-2.9974909813396467e-09,2.328042525272353e-06,25.945024881935616,56.428537482162795,-2.585011350805258,0.02439724094973581
0.00247203495221829,7.64057838006301e-10,4.7522886867212104e-09,-3.264278332447971e-09,2.420345413061532e-06,25.884596986467614,56.426216687932744,-2.5702133467327957,0.024110542878442182
0.0025844001773191213,7.957339395507073e-10,4.959220291099189e-09,-3.541374383326414e-09,2.5115292982155337e-06,25.824200492972004,56.42395895534696,-2.5553848999073634,0.02382553011312777
0.0026967654024199527,8.272960064653613e-10,5.166179123899612e-09,-3.828653796096799e-09,2.601601285226896e-06,25.763834407275464,56.421760157850194,-2.540527843696303,0.023542205542838323
0.002809130627520784,8.587456491024721e-10,5.373165258363928e-09,-4.125992031429293e-09,2.6905684829181205e-06,25.703497751683464,56.41961622297924,-2.5256439877227272,0.023260571856058336
0.0029214958526216153,8.900844566445302e-10,5.580178754804863e-09,-4.433265348986121e-09,2.778438003681242e-06,25.643189564830053,56.417523131965794,-2.5107351180372315,0.022980631543350716
0.0030338610777224466,9.213139972715977e-10,5.787219660786607e-09,-4.750350807780444e-09,2.865216962728422e-06,25.582908901528228,56.41547691933998,-2.4958029972893843,0.022702386899977087
